id,name,sequence,attribute_id:id
Battery-powered,battery-powered,1,amazon_ept.PowerSource
Gas-powered,gas-powered,2,amazon_ept.PowerSource
Hydraulic-powered,hydraulic-powered,3,amazon_ept.PowerSource
Air-powered,air-powered,4,amazon_ept.PowerSource
Corded-electric,corded-electric,5,amazon_ept.PowerSource
not_water_resistan,not_water_resistan,6,amazon_ept.WaterResistanceLevel
water_resistant,water_resistant,7,amazon_ept.WaterResistanceLevel
waterproof,waterproof,8,amazon_ept.WaterResistanceLevel
A,A,9,amazon_ept.CupSize
AA,AA,10,amazon_ept.CupSize
B,B,11,amazon_ept.CupSize
C,C,12,amazon_ept.CupSize
D,D,13,amazon_ept.CupSize
DD,DD,14,amazon_ept.CupSize
DDD,DDD,15,amazon_ept.CupSize
E,E,16,amazon_ept.CupSize
EE,EE,17,amazon_ept.CupSize
F,F,18,amazon_ept.CupSize
FF,FF,19,amazon_ept.CupSize
G,G,20,amazon_ept.CupSize
GG,GG,21,amazon_ept.CupSize
H,H,22,amazon_ept.CupSize
J,J,23,amazon_ept.CupSize
I,I,24,amazon_ept.CupSize
J,J,25,amazon_ept.CupSize
Free,Free,26,amazon_ept.CupSize
DigitalDesigns,DigitalDesigns,50,amazon_ept.ProductTypeamazon_eptamazon_threedprinting
ThreeDPrintedProduct,ThreeDPrintedProduct,51,amazon_ept.ProductTypeamazon_eptamazon_threedprinting
ThreeDPrintableDesigns,ThreeDPrintableDesigns,52,amazon_ept.ProductTypeamazon_eptamazon_threedprinting
SportingGoods,SportingGoods,62,amazon_ept.ProductTypeSport
GolfClubHybrid,GolfClubHybrid,63,amazon_ept.ProductTypeSport
GolfClubIron,GolfClubIron,64,amazon_ept.ProductTypeSport
GolfClubPutter,GolfClubPutter,65,amazon_ept.ProductTypeSport
GolfClubWedge,GolfClubWedge,66,amazon_ept.ProductTypeSport
GolfClubWood,GolfClubWood,67,amazon_ept.ProductTypeSport
GolfClubs,GolfClubs,68,amazon_ept.ProductTypeSport
bulk,bulk,69,amazon_ept.IdentityPackageTypeSport
frustration_free,frustration_free,70,amazon_ept.IdentityPackageTypeSport
traditional,traditional,71,amazon_ept.IdentityPackageTypeSport
batteries_contained_in_equipment,batteries_contained_in_equipment,72,amazon_ept.LithiumBatteryPackagingSport
batteries_only,batteries_only,73,amazon_ept.LithiumBatteryPackagingSport
