id,name,uom_type_id:id
square-inamazon_ept_AreaUnitOfMeasure,square-in,amazon_ept.AreaUnitOfMeasure
square-ftamazon_ept_AreaUnitOfMeasure,square-ft,amazon_ept.AreaUnitOfMeasure
square-cmamazon_ept_AreaUnitOfMeasure,square-cm,amazon_ept.AreaUnitOfMeasure
square-mamazon_ept_AreaUnitOfMeasure,square-m,amazon_ept.AreaUnitOfMeasure
cubic_feet_per_minuteamazon_ept_AirFlowDisplacementUnitOfMeasure,cubic_feet_per_minute,amazon_ept.AirFlowDisplacementUnitOfMeasure
cubic_feet_per_houramazon_ept_AirFlowDisplacementUnitOfMeasure,cubic_feet_per_hour,amazon_ept.AirFlowDisplacementUnitOfMeasure
minutesamazon_ept_BurnTimeUnitOfMeasure,minutes,amazon_ept.BurnTimeUnitOfMeasure
hoursamazon_ept_BurnTimeUnitOfMeasure,hours,amazon_ept.BurnTimeUnitOfMeasure
cycles			amazon_ept_BurnTimeUnitOfMeasure,cycles			,amazon_ept.BurnTimeUnitOfMeasure
MMamazon_ept_LengthUnitOfMeasure,MM,amazon_ept.LengthUnitOfMeasure
CMamazon_ept_LengthUnitOfMeasure,CM,amazon_ept.LengthUnitOfMeasure
Mamazon_ept_LengthUnitOfMeasure,M,amazon_ept.LengthUnitOfMeasure
INamazon_ept_LengthUnitOfMeasure,IN,amazon_ept.LengthUnitOfMeasure
FTamazon_ept_LengthUnitOfMeasure,FT,amazon_ept.LengthUnitOfMeasure
inchesamazon_ept_LengthUnitOfMeasure,inches,amazon_ept.LengthUnitOfMeasure
feetamazon_ept_LengthUnitOfMeasure,feet,amazon_ept.LengthUnitOfMeasure
metersamazon_ept_LengthUnitOfMeasure,meters,amazon_ept.LengthUnitOfMeasure
decimetersamazon_ept_LengthUnitOfMeasure,decimeters,amazon_ept.LengthUnitOfMeasure
centimetersamazon_ept_LengthUnitOfMeasure,centimeters,amazon_ept.LengthUnitOfMeasure
millimetersamazon_ept_LengthUnitOfMeasure,millimeters,amazon_ept.LengthUnitOfMeasure
micrometersamazon_ept_LengthUnitOfMeasure,micrometers,amazon_ept.LengthUnitOfMeasure
nanometersamazon_ept_LengthUnitOfMeasure,nanometers,amazon_ept.LengthUnitOfMeasure
picometersamazon_ept_LengthUnitOfMeasure,picometers,amazon_ept.LengthUnitOfMeasure
lumensamazon_ept_LuminanceUnitOfMeasure,lumens,amazon_ept.LuminanceUnitOfMeasure
candelaamazon_ept_LuminousIntensityUnitOfMeasure,candela,amazon_ept.LuminousIntensityUnitOfMeasure
cubic-cmamazon_ept_VolumeUnitOfMeasure,cubic-cm,amazon_ept.VolumeUnitOfMeasure
cubic-ftamazon_ept_VolumeUnitOfMeasure,cubic-ft,amazon_ept.VolumeUnitOfMeasure
cubic-inamazon_ept_VolumeUnitOfMeasure,cubic-in,amazon_ept.VolumeUnitOfMeasure
cubic-mamazon_ept_VolumeUnitOfMeasure,cubic-m,amazon_ept.VolumeUnitOfMeasure
cubic-ydamazon_ept_VolumeUnitOfMeasure,cubic-yd,amazon_ept.VolumeUnitOfMeasure
cupamazon_ept_VolumeUnitOfMeasure,cup,amazon_ept.VolumeUnitOfMeasure
fluid-ozamazon_ept_VolumeUnitOfMeasure,fluid-oz,amazon_ept.VolumeUnitOfMeasure
gallonamazon_ept_VolumeUnitOfMeasure,gallon,amazon_ept.VolumeUnitOfMeasure
literamazon_ept_VolumeUnitOfMeasure,liter,amazon_ept.VolumeUnitOfMeasure
milliliteramazon_ept_VolumeUnitOfMeasure,milliliter,amazon_ept.VolumeUnitOfMeasure
ounceamazon_ept_VolumeUnitOfMeasure,ounce,amazon_ept.VolumeUnitOfMeasure
pintamazon_ept_VolumeUnitOfMeasure,pint,amazon_ept.VolumeUnitOfMeasure
quartamazon_ept_VolumeUnitOfMeasure,quart,amazon_ept.VolumeUnitOfMeasure
litersamazon_ept_VolumeUnitOfMeasure,liters,amazon_ept.VolumeUnitOfMeasure
decilitersamazon_ept_VolumeUnitOfMeasure,deciliters,amazon_ept.VolumeUnitOfMeasure
centilitersamazon_ept_VolumeUnitOfMeasure,centiliters,amazon_ept.VolumeUnitOfMeasure
millilitersamazon_ept_VolumeUnitOfMeasure,milliliters,amazon_ept.VolumeUnitOfMeasure
microlitersamazon_ept_VolumeUnitOfMeasure,microliters,amazon_ept.VolumeUnitOfMeasure
nanolitersamazon_ept_VolumeUnitOfMeasure,nanoliters,amazon_ept.VolumeUnitOfMeasure
picolitersamazon_ept_VolumeUnitOfMeasure,picoliters,amazon_ept.VolumeUnitOfMeasure
GRamazon_ept_WeightUnitOfMeasure,GR,amazon_ept.WeightUnitOfMeasure
KGamazon_ept_WeightUnitOfMeasure,KG,amazon_ept.WeightUnitOfMeasure
OZamazon_ept_WeightUnitOfMeasure,OZ,amazon_ept.WeightUnitOfMeasure
LBamazon_ept_WeightUnitOfMeasure,LB,amazon_ept.WeightUnitOfMeasure
MGamazon_ept_WeightUnitOfMeasure,MG,amazon_ept.WeightUnitOfMeasure
MMamazon_ept_JewelryLengthUnitOfMeasure,MM,amazon_ept.JewelryLengthUnitOfMeasure
CMamazon_ept_JewelryLengthUnitOfMeasure,CM,amazon_ept.JewelryLengthUnitOfMeasure
INamazon_ept_JewelryLengthUnitOfMeasure,IN,amazon_ept.JewelryLengthUnitOfMeasure
GRamazon_ept_JewelryWeightUnitOfMeasure,GR,amazon_ept.JewelryWeightUnitOfMeasure
KGamazon_ept_JewelryWeightUnitOfMeasure,KG,amazon_ept.JewelryWeightUnitOfMeasure
OZamazon_ept_JewelryWeightUnitOfMeasure,OZ,amazon_ept.JewelryWeightUnitOfMeasure
LBamazon_ept_JewelryWeightUnitOfMeasure,LB,amazon_ept.JewelryWeightUnitOfMeasure
CARATSamazon_ept_JewelryWeightUnitOfMeasure,CARATS,amazon_ept.JewelryWeightUnitOfMeasure
DWTamazon_ept_JewelryWeightUnitOfMeasure,DWT,amazon_ept.JewelryWeightUnitOfMeasure
degreesamazon_ept_DegreeUnitOfMeasure,degrees,amazon_ept.DegreeUnitOfMeasure
microradianamazon_ept_DegreeUnitOfMeasure,microradian,amazon_ept.DegreeUnitOfMeasure
arc_minute			amazon_ept_DegreeUnitOfMeasure,arc_minute			,amazon_ept.DegreeUnitOfMeasure
arc_secamazon_ept_DegreeUnitOfMeasure,arc_sec,amazon_ept.DegreeUnitOfMeasure
milliradianamazon_ept_DegreeUnitOfMeasure,milliradian,amazon_ept.DegreeUnitOfMeasure
radians			amazon_ept_DegreeUnitOfMeasure,radians			,amazon_ept.DegreeUnitOfMeasure
turns				amazon_ept_DegreeUnitOfMeasure,turns				,amazon_ept.DegreeUnitOfMeasure
revolutions				amazon_ept_DegreeUnitOfMeasure,revolutions				,amazon_ept.DegreeUnitOfMeasure
TBamazon_ept_MemorySizeUnitOfMeasure,TB,amazon_ept.MemorySizeUnitOfMeasure
GBamazon_ept_MemorySizeUnitOfMeasure,GB,amazon_ept.MemorySizeUnitOfMeasure
MBamazon_ept_MemorySizeUnitOfMeasure,MB,amazon_ept.MemorySizeUnitOfMeasure
KBamazon_ept_MemorySizeUnitOfMeasure,KB,amazon_ept.MemorySizeUnitOfMeasure
KOamazon_ept_MemorySizeUnitOfMeasure,KO,amazon_ept.MemorySizeUnitOfMeasure
MOamazon_ept_MemorySizeUnitOfMeasure,MO,amazon_ept.MemorySizeUnitOfMeasure
GOamazon_ept_MemorySizeUnitOfMeasure,GO,amazon_ept.MemorySizeUnitOfMeasure
TOamazon_ept_MemorySizeUnitOfMeasure,TO,amazon_ept.MemorySizeUnitOfMeasure
bytesamazon_ept_MemorySizeUnitOfMeasure,bytes,amazon_ept.MemorySizeUnitOfMeasure
Hzamazon_ept_FrequencyUnitOfMeasure,Hz,amazon_ept.FrequencyUnitOfMeasure
KHzamazon_ept_FrequencyUnitOfMeasure,KHz,amazon_ept.FrequencyUnitOfMeasure
MHzamazon_ept_FrequencyUnitOfMeasure,MHz,amazon_ept.FrequencyUnitOfMeasure
GHzamazon_ept_FrequencyUnitOfMeasure,GHz,amazon_ept.FrequencyUnitOfMeasure
ampsamazon_ept_AmperageUnitOfMeasure,amps,amazon_ept.AmperageUnitOfMeasure
kiloampsamazon_ept_AmperageUnitOfMeasure,kiloamps,amazon_ept.AmperageUnitOfMeasure
microampsamazon_ept_AmperageUnitOfMeasure,microamps,amazon_ept.AmperageUnitOfMeasure
milliampsamazon_ept_AmperageUnitOfMeasure,milliamps,amazon_ept.AmperageUnitOfMeasure
nanoampsamazon_ept_AmperageUnitOfMeasure,nanoamps,amazon_ept.AmperageUnitOfMeasure
picoampsamazon_ept_AmperageUnitOfMeasure,picoamps,amazon_ept.AmperageUnitOfMeasure
secamazon_ept_TimeUnitOfMeasure,sec,amazon_ept.TimeUnitOfMeasure
minamazon_ept_TimeUnitOfMeasure,min,amazon_ept.TimeUnitOfMeasure
hramazon_ept_TimeUnitOfMeasure,hr,amazon_ept.TimeUnitOfMeasure
daysamazon_ept_TimeUnitOfMeasure,days,amazon_ept.TimeUnitOfMeasure
hoursamazon_ept_TimeUnitOfMeasure,hours,amazon_ept.TimeUnitOfMeasure
minutesamazon_ept_TimeUnitOfMeasure,minutes,amazon_ept.TimeUnitOfMeasure
secondsamazon_ept_TimeUnitOfMeasure,seconds,amazon_ept.TimeUnitOfMeasure
millisecondsamazon_ept_TimeUnitOfMeasure,milliseconds,amazon_ept.TimeUnitOfMeasure
microsecondsamazon_ept_TimeUnitOfMeasure,microseconds,amazon_ept.TimeUnitOfMeasure
nanosecondsamazon_ept_TimeUnitOfMeasure,nanoseconds,amazon_ept.TimeUnitOfMeasure
picosecondsamazon_ept_TimeUnitOfMeasure,picoseconds,amazon_ept.TimeUnitOfMeasure
minutesamazon_ept_BatteryAverageLifeUnitOfMeasure,minutes,amazon_ept.BatteryAverageLifeUnitOfMeasure
hoursamazon_ept_BatteryAverageLifeUnitOfMeasure,hours,amazon_ept.BatteryAverageLifeUnitOfMeasure
daysamazon_ept_BatteryAverageLifeUnitOfMeasure,days,amazon_ept.BatteryAverageLifeUnitOfMeasure
weeksamazon_ept_BatteryAverageLifeUnitOfMeasure,weeks,amazon_ept.BatteryAverageLifeUnitOfMeasure
monthsamazon_ept_BatteryAverageLifeUnitOfMeasure,months,amazon_ept.BatteryAverageLifeUnitOfMeasure
