id,name,code
gati_goods_code_01,ELECTRICAL INSTRUMENTS,101
gati_goods_code_02,ELECTRICAL PARTS,102
gati_goods_code_03,COMPUTER MONITOR,201
gati_goods_code_04,COMPUTER KEY BOARD,202
gati_goods_code_05,COMPUTER PROCESSING UNIT(CPU),203
gati_goods_code_06,PRINTER,204
gati_goods_code_07,COMPUTER PERIPHERALS,205
gati_goods_code_08,ELECTRONIC EQUIPMENTS,206
gati_goods_code_09,ELECTRONIC PARTS,207
gati_goods_code_10,MACHINE TOOLS,301
gati_goods_code_11,AUTOMOBILE PARTS,302
gati_goods_code_12,HEAVY MACHINERY,303
gati_goods_code_13,INDUSTRIAL MACHINERY,304
gati_goods_code_14,INDUSTRIAL MACHINE PARTS,305
gati_goods_code_15,RAW METAL PIECES /STEEL,306
gati_goods_code_16,MISCELLEANOUS ENGINEERING GOODS,307
gati_goods_code_17,TEXTILE MACHINERY,308
gati_goods_code_18,HOUSE HOLD GOODS,401
gati_goods_code_19,FOOD ITEMS,402
gati_goods_code_20,WATCHES,403
gati_goods_code_21,COSMETICS,404
gati_goods_code_22,GLASSWARES,405
gati_goods_code_23,PLASTICS GOODS,406
gati_goods_code_24,GIFT ARTICLES,407
gati_goods_code_25,SPORTS GOODS,408
gati_goods_code_26,FILM ROLL/CAMERA/TAPE,409
gati_goods_code_27,READY MADE GARMENTS,410
gati_goods_code_28,PAINTINGS,411
gati_goods_code_29,HANDICRAFT ITMES,410
gati_goods_code_30,TELEVISION /VCR /VCP,451
gati_goods_code_31,REFERIGERATOR,452
gati_goods_code_32,AUDIO EQUIPMENTS,453
gati_goods_code_33,WASHING MACHINES,454
gati_goods_code_34,AIR CONDITIONER / COOLERS,455
gati_goods_code_35,COTTON GOODS,501
gati_goods_code_36,CLOTH,502
gati_goods_code_37,RAW SILK,503
gati_goods_code_38,HANDLOOM GOODS,504
gati_goods_code_39,SILK SAREES,505
gati_goods_code_40,COTTON SAREES,506
gati_goods_code_41,SAREES,507
gati_goods_code_42,BOOKS,601
gati_goods_code_43,MAGZINES,602
gati_goods_code_44,STATIONARY ITEMS,603
gati_goods_code_45,DIARIES,604
